tran_number,sp_richness,percent_cover,dist_from_edge_m,dist_from_tree_m,day_of_week,num_flowers,num_dand_flowers,num_leaves_in_rosette,dand_rosette_diam_cm
0,4.0,95.0,0.0m,20.0,Tuesday,140.0,0.0,,
0,2.0,95.0,3.0m,17.0,Tuesday,0.0,0.0,,
0,3.0,98.0,6.0m,15.0,Tuesday,0.0,0.0,,
1,4.0,90.0,0.0m,9.0,Tuesday,0.0,0.0,,
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,11.0,9.0
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,5.0,8.8
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,6.0,9.3
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,15.0,11.9
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,16.0,12.0
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,8.0,9.2
1,5.0,75.0,3.0m,7.0,Tuesday,8.0,7.0,3.0,6.4
1,6.0,15.0,6.0m,4.0,Tuesday,6.0,2.0,9.0,8.0
1,6.0,15.0,6.0m,4.0,Tuesday,6.0,2.0,24.0,13.2
2,2.0,83.0,0.0m,8.0,Monday,0.0,0.0,,
2,4.0,73.0,3.0m,9.0,Monday,1.0,0.0,23.0,12.0
2,3.0,95.0,6.0m,8.0,Monday,2.0,0.0,,
3,4.0,65.0,0.0m,33.0,Thursday,0.0,0.0,,
3,3.0,97.0,3.0m,30.0,Thursday,1.0,0.0,,
3,3.0,95.0,6.0m,27.0,Thursday,2.0,0.0,,
4,1.0,98.0,0.0m,15.0,Wednesday,0.0,0.0,,
4,3.0,75.0,3.0m,12.0,Wednesday,1.0,1.0,15.0,11.0
4,1.0,95.0,6.0m,10.0,Wednesday,0.0,0.0,,
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,32.0,10.0
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,25.0,9.0
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,18.0,8.0
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,14.0,7.0
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,13.0,4.0
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,24.0,12.0
5,5.0,57.0,0.0m,14.0,Tuesday,13.0,12.0,15.0,10.0
5,4.0,45.0,3.0m,11.0,Tuesday,8.0,8.0,7.0,4.0
5,4.0,45.0,3.0m,11.0,Tuesday,8.0,8.0,7.0,8.0
